seed,group,method,model,target_city,eval_split,recall@20,ndcg@20,status,notes,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,score_norm
2024,main_component,Target-only,VanillaMF,Chicago,official_test,0.18807998417329588,0.13030975079875565,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.23863146643100538,0.12883976691323137,,,local,none
2024,main_component,Target-only,VanillaMF,Chicago,strict_unseen_test,0.17638714647479437,0.09273160726351508,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.23863146643100538,0.12883976691323137,,,local,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,Chicago,official_test,0.16541633749366252,0.1207283848862571,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.1714138622666565,0.10702096135854229,NYC|Singapore|Tokyo,equal,transfer,none
2024,main_component,Original-OTC-GW-NoFallback,VanillaMF,Chicago,strict_unseen_test,0.15342475633733077,0.08587895080184337,success,Original no-fallback OTC-GW.,0.5,0.0,0.0,0.0,0.0,0.1714138622666565,0.10702096135854229,NYC|Singapore|Tokyo,equal,transfer,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,Chicago,official_test,0.18281934228735958,0.12931169327530148,success,RD-Safe reliability-aware safe transfer.,0.0,0.005,0.0,0.0,0.0,0.23933529376185333,0.12941367268361423,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",safe_select:RD,none
2024,main_component,RD-Safe-OTC-GW,VanillaMF,Chicago,strict_unseen_test,0.1751119659576082,0.09331691963172666,success,RD-Safe reliability-aware safe transfer.,0.0,0.005,0.0,0.0,0.0,0.23933529376185333,0.12941367268361423,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",safe_select:RD,none
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,Chicago,official_test,0.22886427274591833,0.16180480788289278,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,0.5,1.0,0.28962306344335453,0.15475036199048128,NYC|Singapore|Tokyo,equal,graph_rerank,none
2024,main_component,HR-Rerank-OTC-GW,VanillaMF,Chicago,strict_unseen_test,0.16378613456087415,0.08880843467031073,success,Full HR reranking on Original OTC-GW.,0.5,0.0,1.0,0.5,1.0,0.28962306344335453,0.15475036199048128,NYC|Singapore|Tokyo,equal,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Chicago,official_test,0.2340054599038466,0.15901992643602678,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.005,1.0,0.0,0.0,0.26497059212826185,0.1551134360541664,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Chicago,strict_unseen_test,0.17370173959673282,0.08424322528808702,success,HR signal ablation: only category-region affinity on RD-Safe.,0.0,0.005,1.0,0.0,0.0,0.26497059212826185,0.1551134360541664,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",graph_rerank,none
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,Chicago,official_test,0.20375012763906653,0.13990244056126686,success,HR signal ablation: only region-region diffusion on RD-Safe.,0.0,0.005,0.0,0.5,0.0,0.27073111189982296,0.13997843910249425,Singapore|Tokyo,"{""Singapore"": 0.3609171509742737, ""Tokyo"": 0.6390829086303711}",graph_rerank,none
